Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
-1,0,2.79e+12,1.12e+14,1.0,0.0,2741.263231146593,4058.767863242562,0.1053435068665931,0.203173624867171,1.37e+05,5.88e+05,34042.914928672166,700736.0726882814,6329.18210353364,100000000.0,0.003507945520977819,0.5382039086871706,0.6091746412033137,0.7738685076081546,0.94,0.15280755683486083,0.1753619286312134,0.0001024919386133705,0.0007150817497296613,2.4827411368770025,4.077636069081692,0.0,0.0,1683.0,1235.0,
0,377.3675,5.58e+12,1.71e+14,1.0,0.0,1766.9935246830773,1819.7603128041756,0.07955856421518566,0.7229216172347951,1.71e+05,1.34e+05,208741.76029736208,404712.5991902321,25167.241540937066,100000000.0,0.0022446878077861418,0.41851057646744017,0.5752581430157035,0.5918416480634464,0.94,0.42788166868990685,0.2489094096440945,0.00010152634884525461,0.00046941906905545764,1.6147462540997672,3.318100819402019,0.0,0.0,1683.0,1235.0,
1,831.1916,3.55e+12,1.13e+14,1.0,0.0,1142.0589830559352,2470.6775355938603,0.10215703301392531,0.41751086137220417,3.15e+05,1.49e+05,170263.534229359,371375.42060165014,16893.752317036196,100000000.0,0.0019459664238606327,0.5029978911476289,0.5841518767162321,0.504884405416242,0.94,0.6672935587255366,0.14829155258543197,7.915080454578213e-05,0.0005996026279747774,2.563089326160302,3.7668685400133146,0.0,0.0,1683.0,1235.0,
2,1354.1245,2.06e+12,1.10e+14,1.0,0.0,1231.6202003646144,1857.1227029322258,0.11250746165325698,0.5571245985411932,1.62e+05,1.66e+05,180305.82782495028,292266.381916267,19695.718252085113,100000000.0,0.0011927284253779177,0.6348172985606568,0.545795711560628,0.6866825431971382,0.94,0.4942086501447964,0.1350593506445265,7.033397911045826e-05,0.0004681084220703513,2.078898030992188,4.2161837449367425,0.0,0.0,1683.0,1235.0,
3,1872.4135,2.06e+12,1.10e+14,1.0,0.0,1231.6202003646144,1857.1227029322258,0.11250746165325698,0.5571245985411932,1.62e+05,1.66e+05,180305.82782495028,292266.381916267,19695.718252085113,100000000.0,0.0011927284253779177,0.6348172985606568,0.545795711560628,0.6866825431971382,0.94,0.4942086501447964,0.1350593506445265,7.033397911045826e-05,0.0004681084220703513,2.078898030992188,4.2161837449367425,0.0,0.0,1683.0,1235.0,
4,2413.6515,2.06e+12,1.10e+14,1.0,0.0,1231.6202003646144,1857.1227029322258,0.11250746165325698,0.5571245985411932,1.62e+05,1.66e+05,180305.82782495028,292266.381916267,19695.718252085113,100000000.0,0.0011927284253779177,0.6348172985606568,0.545795711560628,0.6866825431971382,0.94,0.4942086501447964,0.1350593506445265,7.033397911045826e-05,0.0004681084220703513,2.078898030992188,4.2161837449367425,0.0,0.0,1683.0,1235.0,
5,2977.3135,2.06e+12,1.10e+14,1.0,0.0,1231.6202003646144,1857.1227029322258,0.11250746165325698,0.5571245985411932,1.62e+05,1.66e+05,180305.82782495028,292266.381916267,19695.718252085113,100000000.0,0.0011927284253779177,0.6348172985606568,0.545795711560628,0.6866825431971382,0.94,0.4942086501447964,0.1350593506445265,7.033397911045826e-05,0.0004681084220703513,2.078898030992188,4.2161837449367425,0.0,0.0,1683.0,1235.0,
6,3557.3415,3.18e+12,1.21e+14,1.0,0.0,1676.1835373170427,2358.710181188266,0.09386222915614063,0.501838929116053,1.42e+05,1.93e+05,196406.65539465472,379742.3342336055,22313.431481986067,100000000.0,0.0009244966993583852,0.5774502940873698,0.5336817365736508,0.7005971488273469,0.94,0.3609093507066932,0.13339469493168807,7.332703162068595e-05,0.0004726302747196496,2.0212518560531327,2.9506258594685484,0.0,0.0,1683.0,1235.0,
7,4122.5305,3.18e+12,1.21e+14,1.0,0.0,1676.1835373170427,2358.710181188266,0.09386222915614063,0.501838929116053,1.42e+05,1.93e+05,196406.65539465472,379742.3342336055,22313.431481986067,100000000.0,0.0009244966993583852,0.5774502940873698,0.5336817365736508,0.7005971488273469,0.94,0.3609093507066932,0.13339469493168807,7.332703162068595e-05,0.0004726302747196496,2.0212518560531327,2.9506258594685484,0.0,0.0,1683.0,1235.0,
8,4695.7515,3.18e+12,1.21e+14,1.0,0.0,1676.1835373170427,2358.710181188266,0.09386222915614063,0.501838929116053,1.42e+05,1.93e+05,196406.65539465472,379742.3342336055,22313.431481986067,100000000.0,0.0009244966993583852,0.5774502940873698,0.5336817365736508,0.7005971488273469,0.94,0.3609093507066932,0.13339469493168807,7.332703162068595e-05,0.0004726302747196496,2.0212518560531327,2.9506258594685484,0.0,0.0,1683.0,1235.0,
