# Time [s], Mass [Kg]
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,1.000000000000000000e+00
4.800000000000000000e+01,1.000000000000000000e+00
4.900000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+01,1.000000000000000000e+00
5.100000000000000000e+01,1.000000000000000000e+00
5.200000000000000000e+01,1.000000000000000000e+00
5.300000000000000000e+01,1.000000000000000000e+00
5.400000000000000000e+01,1.000000000000000000e+00
5.500000000000000000e+01,1.000000000000000000e+00
5.600000000000000000e+01,1.000000000000000000e+00
5.700000000000000000e+01,1.000000000000000000e+00
5.800000000000000000e+01,1.000000000000000000e+00
5.900000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+01,1.000000000000000000e+00
6.100000000000000000e+01,1.000000000000000000e+00
6.200000000000000000e+01,1.000000000000000000e+00
6.300000000000000000e+01,1.000000000000000000e+00
6.400000000000000000e+01,1.000000000000000000e+00
6.500000000000000000e+01,1.000000000000000000e+00
6.600000000000000000e+01,1.000000000000000000e+00
6.700000000000000000e+01,1.000000000000000000e+00
6.800000000000000000e+01,1.000000000000000000e+00
6.900000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+01,1.000000000000000000e+00
7.100000000000000000e+01,1.000000000000000000e+00
7.200000000000000000e+01,1.000000000000000000e+00
7.300000000000000000e+01,1.000000000000000000e+00
7.400000000000000000e+01,1.000000000000000000e+00
7.500000000000000000e+01,9.999999400000000316e-01
7.600000000000000000e+01,9.999999400000000316e-01
7.700000000000000000e+01,9.999999400000000316e-01
7.800000000000000000e+01,9.999999400000000316e-01
7.900000000000000000e+01,9.999999400000000316e-01
8.000000000000000000e+01,9.999999400000000316e-01
8.100000000000000000e+01,9.999999400000000316e-01
8.200000000000000000e+01,9.999999400000000316e-01
8.300000000000000000e+01,9.999999400000000316e-01
8.400000000000000000e+01,9.999999400000000316e-01
8.500000000000000000e+01,9.999999400000000316e-01
8.600000000000000000e+01,9.999998799999999521e-01
8.700000000000000000e+01,9.999998799999999521e-01
8.800000000000000000e+01,9.999998799999999521e-01
8.900000000000000000e+01,9.999998799999999521e-01
9.000000000000000000e+01,9.999998799999999521e-01
9.100000000000000000e+01,9.999998199999999837e-01
9.200000000000000000e+01,9.999998199999999837e-01
9.300000000000000000e+01,9.999998199999999837e-01
9.400000000000000000e+01,9.999998199999999837e-01
9.500000000000000000e+01,9.999997600000000153e-01
9.600000000000000000e+01,9.999997600000000153e-01
9.700000000000000000e+01,9.999997600000000153e-01
9.800000000000000000e+01,9.999997000000000469e-01
9.900000000000000000e+01,9.999997000000000469e-01
1.000000000000000000e+02,9.999997000000000469e-01
1.010000000000000000e+02,9.999996399999999674e-01
1.020000000000000000e+02,9.999996399999999674e-01
1.030000000000000000e+02,9.999995799999999990e-01
1.040000000000000000e+02,9.999995799999999990e-01
1.050000000000000000e+02,9.999995200000000306e-01
1.060000000000000000e+02,9.999994599999999512e-01
1.070000000000000000e+02,9.999994599999999512e-01
1.080000000000000000e+02,9.999993999999999827e-01
1.090000000000000000e+02,9.999993400000000143e-01
1.100000000000000000e+02,9.999992800000000459e-01
1.110000000000000000e+02,9.999992300000000167e-01
1.120000000000000000e+02,9.999991700000000483e-01
1.130000000000000000e+02,9.999991700000000483e-01
1.140000000000000000e+02,9.999990500000000004e-01
1.150000000000000000e+02,9.999989900000000320e-01
1.160000000000000000e+02,9.999989299999999526e-01
1.170000000000000000e+02,9.999988699999999842e-01
1.180000000000000000e+02,9.999988100000000157e-01
1.190000000000000000e+02,9.999986899999999679e-01
1.200000000000000000e+02,9.999986299999999995e-01
1.210000000000000000e+02,9.999985099999999516e-01
1.220000000000000000e+02,9.999983900000000148e-01
1.230000000000000000e+02,9.999983300000000463e-01
1.240000000000000000e+02,9.999982099999999985e-01
1.250000000000000000e+02,9.999980899999999506e-01
1.260000000000000000e+02,9.999979700000000138e-01
1.270000000000000000e+02,9.999978499999999659e-01
1.280000000000000000e+02,9.999976799999999999e-01
1.290000000000000000e+02,9.999975599999999520e-01
1.300000000000000000e+02,9.999973800000000468e-01
