Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,6.25e+12,1.0,0.0,1430.0732179658585,680.5154988865793,1.73e+05,383336.6507964958,24423.470251165225,100000000.0,0.00023503085293520205,0.7338086749851456,0.739825396286484,0.94,0.9955495056932082,0.24971794332469324,0.6250124314080521,0.0,1683.0,1235.0,
0,177.3356,5.54e+12,1.0,0.0,1925.8726086526776,3706.948900681721,1.58e+05,196732.8453901554,12333.819473898606,100000000.0,0.00015209993303949565,0.7338086749851456,0.6343505571868889,0.94,0.4408262756486254,0.4382139468974583,0.9731402974044865,0.0,1683.0,1235.0,
1,396.6113,3.94e+12,1.0,0.0,3764.487557989026,3025.0922294701013,1.24e+05,257864.92061207345,11563.613318973545,100000000.0,4.882004436252621e-05,0.7338086749851456,0.5327925376126526,0.94,0.572562992734688,0.304878534784641,1.8768887611080327,0.0,1683.0,1235.0,
2,610.9779,4.36e+12,1.0,0.0,2456.029686770655,1677.6423134504666,1.50e+05,231180.9791024613,23631.836111825516,100000000.0,3.816982879118505e-05,0.7338086749851456,0.7187512048057514,0.94,0.42119213806017197,0.3073476952552213,1.6831687332219751,0.0,1683.0,1235.0,
3,828.8498,4.21e+12,1.0,0.0,2757.3556952042754,1791.4175449009886,1.45e+05,259428.38842384584,20918.245506798354,100000000.0,2.2818165169427625e-05,0.7338086749851456,0.7256319636768677,0.94,0.4790321090376283,0.35182740084949027,1.835977371643221,0.0,1683.0,1235.0,
4,1086.3022,4.20e+12,1.0,0.0,2876.639451505166,1895.6312972273104,1.44e+05,236345.01431088202,20747.650975608514,100000000.0,1.2198640529347479e-05,0.7338086749851456,0.7314446627486724,0.94,0.47452974735371256,0.35425761544297363,1.8599908637708684,0.0,1683.0,1235.0,
5,1337.1407,4.18e+12,1.0,0.0,2875.6754839451214,1931.2389112069473,1.44e+05,235098.56422208133,20994.547365920254,100000000.0,1.0642756167558391e-05,0.7338086749851456,0.7311055764103629,0.94,0.4775016377311953,0.35418061596225436,1.8943501309363389,0.0,1683.0,1235.0,
6,1601.6215,3.97e+12,1.0,0.0,2970.5923687718246,1843.9401068171762,1.46e+05,237255.7982525971,14624.73813562964,100000000.0,8.950096188830945e-06,0.7338086749851456,0.793650855916163,0.94,0.5169283429771332,0.3480387445686158,1.7998159814772308,0.0,1683.0,1235.0,
7,1858.2845,3.84e+12,1.0,0.0,3038.046497953431,1887.4127067627232,1.46e+05,231051.98910746246,12305.991725253432,100000000.0,7.926893856059643e-06,0.7338086749851456,0.8160261047475984,0.94,0.5325422462335136,0.34999702154597656,1.8347940447833373,0.0,1683.0,1235.0,
8,2116.1323,3.54e+12,1.0,0.0,3202.7458041592813,1844.9935082036186,1.46e+05,231789.3229823144,6049.829235445077,100000000.0,6.872484075413013e-06,0.7338086749851456,0.867472128513848,0.94,0.5783943689487876,0.34740387660267824,1.810184641613723,0.0,1683.0,1235.0,
9,2399.1371,3.44e+12,1.0,0.0,3293.136626437573,1800.4003077002012,1.46e+05,232508.3214241712,3515.7053559988244,100000000.0,6.471525460338633e-06,0.7338086749851456,0.8898235636694907,0.94,0.5976421585188607,0.3453494263458465,1.8008281275562272,0.0,1683.0,1235.0,
10,2661.3363,3.33e+12,1.0,0.0,3326.7285992464967,1776.8584858390943,1.46e+05,234039.31763514515,2734.8310514436903,100000000.0,6.2903674949823956e-06,0.7338086749851456,0.8970615620064314,0.94,0.6084723249704068,0.34652816190307567,1.8117425157686406,0.0,1683.0,1235.0,
11,2904.1077,3.55e+12,1.0,0.0,3356.3515015566572,1914.7924358118003,1.47e+05,232234.0195226156,2881.53285721235,100000000.0,6.088284585006062e-06,0.7338086749851456,0.9181075263766265,0.94,0.6189631868500102,0.3541409642046726,1.756367178995888,0.0,1683.0,1235.0,
12,3173.9513,3.87e+12,1.0,0.0,3360.1367302974986,2048.7095462991756,1.48e+05,231127.1814944326,2659.336527282843,100000000.0,5.932939671335748e-06,0.7338086749851456,0.9300993816355447,0.94,0.6239701704143293,0.3589314902863344,1.697054428374936,0.0,1683.0,1235.0,
13,3411.1318,3.69e+12,1.0,0.0,3427.893386451895,2018.7712282668667,1.47e+05,229077.65960601397,2518.787874149164,100000000.0,5.811146130098203e-06,0.7338086749851456,0.9401896385937113,0.94,0.6366074272132749,0.3507744763000824,1.7013252871279998,0.0,1683.0,1235.0,
14,3675.3735,3.66e+12,1.0,0.0,3460.767488414726,2027.762605938654,1.47e+05,227321.47410923394,2552.9418935423637,100000000.0,5.7714676575506676e-06,0.7338086749851456,0.946418626840168,0.94,0.6432964020907022,0.3451154806815608,1.6865019657556954,0.0,1683.0,1235.0,
