Loop,Time,r0-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r0-Hp,p0-K,p1-K,Value,r0-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r0-nO2,p0-rho,p1-rho,
-1,0,1.29e+12,1.0,0.0,687.1468466752381,3900.306577174594,0.08066569190384872,0.41419398279965425,1.73e+05,36390.311758251766,17941.16279654969,100000000.0,0.0001692439665853447,0.7338086749851456,0.6130596453643717,0.94,0.16786596058628678,0.03763827615182946,1.7119878197328443e-05,8.53234319257471e-05,0.42446328346331474,0.0,1683.0,1235.0,
0,345.9981,1.75e+12,1.0,0.0,1481.0535831665024,2175.6736793480864,0.08824424890604207,0.4471990957664651,1.51e+05,200250.03110221552,15551.814228141608,100000000.0,0.00010364847349588385,0.7338086749851456,0.7478297856839536,0.94,0.34365393208120376,0.10958004458342685,6.653154537563935e-05,0.00047717595529371673,1.4481097146721913,0.0,1683.0,1235.0,
1,719.4781,2.86e+12,1.0,0.0,1748.162994404755,2551.0761665911496,0.09054429057881083,0.6386264417498115,1.53e+05,137306.68423644366,22175.484492069012,100000000.0,2.415613129567141e-05,0.7338086749851456,0.7908797830197765,0.94,0.41570642605558716,0.18633849015987677,5.080191351297814e-05,0.00028608127511240637,1.3835849358429644,0.0,1683.0,1235.0,
2,1119.8837,2.49e+12,1.0,0.0,1807.2095152306063,2639.3080639809464,0.09297345956150585,0.5584931053010861,1.48e+05,155220.80141733313,21510.577174508704,100000000.0,1.8705049419866702e-05,0.7338086749851456,0.7378568532939128,0.94,0.44376513057932443,0.16142676560887825,5.449568050706076e-05,0.0003673410502235608,1.4403766653378243,0.0,1683.0,1235.0,
3,1528.5289,2.94e+12,1.0,0.0,1921.866332638625,2450.98868133212,0.08957589541748393,0.5770326862255553,1.46e+05,178048.65212374114,20224.390465816417,100000000.0,1.0458114358288154e-05,0.7338086749851456,0.7479666160039855,0.94,0.4770216261148704,0.16058414656258294,5.5492835252838265e-05,0.0004150490009662642,1.5903401812706321,0.0,1683.0,1235.0,
4,1956.6640,2.83e+12,1.0,0.0,1914.1069874305026,2544.09604070725,0.08874429348659098,0.5821367594736899,1.46e+05,177093.85065194248,19631.72816294911,100000000.0,8.030774712481249e-06,0.7338086749851456,0.7412120556018028,0.94,0.480492570829977,0.15305329648842875,5.544754025454374e-05,0.00040799822273468347,1.4432668996479285,0.0,1683.0,1235.0,
5,2366.3371,2.92e+12,1.0,0.0,1981.3004878831675,2383.262299406251,0.0880015609057451,0.5790478276653569,1.44e+05,187006.4069138656,19064.045469585035,100000000.0,7.520955617110185e-06,0.7338086749851456,0.7344257897043451,0.94,0.4983378594871525,0.14243411232513856,5.688389410482679e-05,0.0004433879690757922,1.5203920918069576,0.0,1683.0,1235.0,
6,2789.2140,2.99e+12,1.0,0.0,2035.4301686353772,2183.4917058914853,0.08690535144810227,0.5905644480665198,1.45e+05,193769.9127496785,18678.645346951453,100000000.0,6.907604353921243e-06,0.7338086749851456,0.7640654714718785,0.94,0.5247457738179954,0.139233921473911,5.622915931489173e-05,0.0004579158757094698,1.5648440187271913,0.0,1683.0,1235.0,
7,3227.9711,3.11e+12,1.0,0.0,2086.9133365597595,2014.7168560683504,0.08480498764419059,0.6092350747416468,1.46e+05,198887.77257549413,18309.08281321854,100000000.0,6.315237587907572e-06,0.7338086749851456,0.8085074784028622,0.94,0.5551769253493322,0.1404452913918166,5.581517925018656e-05,0.00048789371053795474,1.5915706389550608,0.0,1683.0,1235.0,
8,3686.9570,3.05e+12,1.0,0.0,2085.9977798819054,2005.734469978122,0.08474587472415751,0.6127508127134638,1.47e+05,199598.82063067812,17942.826907559313,100000000.0,6.146829504236792e-06,0.7338086749851456,0.8151869986549495,0.94,0.5610915070939398,0.13997031735007892,5.63725589363814e-05,0.00048664927685543747,1.579081447163571,0.0,1683.0,1235.0,
